NON_CORRELATED,CORRELATED95,COLUMNS_WITH_NAN
UDSTTIMEGET,UDHEFMLYPRB,
UDSTNOTSTOP,UDHEGETHURT,
UDSTWSHSTOP,UDHEWDFLBLU,
UDSTHLTHCTD,UDHEWDVOMIT,
UDSTMNTLCTD,UDHEWDCRAMP,
UDSTFMLYCTD,UDHEWDRUNNY,
UDSTWDTIRED,UDHEWDSWEAT,
UDSTAVWSTIM,UDHEWDDIARR,
UDSVNOTSTOP,UDHEWDYAWNS,
UDSVWSHSTOP,UDHEWDFEVER,
UDSVHLTHCTD,UDHEWDSLEEP,
UDSVMNTLCTD,UDHEAVOIDWD,
UDSVFMLYCTD,UDHEAVWPNRL,
UDSVAVWSVTR,UDHEAVWOTHR,
IRPYUD5ALC,UDHATIMEUSE,
IRPYUD5MRJ,UDHATIMEGET,
IRPYUD5COC,UDHALRGAMTS,
IRPYUD5HER,UDHAWANTBAD,
IRPYUD5HAL,UDHASTRURGE,
IRPYUD5INH,UDHANEEDMOR,
IRPYUD5MTH,UDHALESSEFF,
IRUD5PNRMIS,UDHATRYSTOP,
IRUD5PNRUNM,UDHAHLTHPRB,
IIUD5PNRUNM,UDHAMNTLPRB,
IRUD5TRQMIS,UDHASTOPACT,
IRUD5TRQUNM,UDHAWORKPRB,
IIUD5TRQUNM,UDHAFMLYPRB,
IRUD5STMMIS,UDHAGETHURT,
IRUD5STMUNM,UDINTIMEUSE,
IIUD5STMUNM,UDINTIMEGET,
IRUD5SEDMIS,UDINLRGAMTS,
IRUD5SEDUNM,UDINWANTBAD,
IIPYSEV5HAL,UDINSTRURGE,
IIPYSEV5INH,UDINNEEDMOR,
IISEVPNRUNM,UDINLESSEFF,
IISEVTRQUNM,UDINTRYSTOP,
IISEVSTMUNM,UDINHLTHPRB,
IISEVSEDUNM,UDINMNTLPRB,
UD5TRQSDANY,UDINSTOPACT,
UD5PSYANY,UDINWORKPRB,
UD5OPIANY,UDINFMLYPRB,
UD5CNSANY,UDINGETHURT,
UD5ILLANY,UDMETIMEUSE,
UD5IEMANY,UDMELRGAMTS,
UD5ILALANY,UDMEWANTBAD,
UD5ILAALANY,UDMENEEDMOR,
UD5ILNALANY,UDMETRYSTOP,
UD5ALNILANY,UDMEHLTHPRB,
UDYR5SEDANY,UDMESTOPACT,
UDYR5STMANY,UDMEWORKPRB,
UDYR5TRQANY,UDMEFMLYPRB,
SVYRTQSDANY,UDMEGETHURT,
SVYRCNSANY,UDMEWDFLBLU,
SVYRDUDANY,UDMEWDDREAM,
SVYRSUDANY,UDMEWDSLEEP,
MRJAGLST,UDMEWDHNGRY,
MRJYLU,UDMEWDSITST,
CIGAGLST,UDMEAVOIDWD,
CIGYLU,UDMEAVWCOCN,
CIGMLU,UDMEAVWSTIM,
CIGDLLST,UDMEAVWOTHR,
CIGDLYLU,UDPRTIMEUSE,
CIGDLMLU,UDPRLRGAMTS,
SMKAGLAST,UDPRWANTBAD,
SMKYRLAST,UDPRSTRURGE,
SMKMOLAST,UDPRNEEDMOR,
CGRAGLST,UDPRLESSEFF,
CIGARYLU,UDPRTRYSTOP,
CIGARMLU,UDPRHLTHPRB,
ALCAGLST,UDPRMNTLPRB,
ALCYLU,UDPRSTOPACT,
COCAGLST,UDPRWORKPRB,
COCYLU,UDPRFMLYPRB,
COCMLU,UDPRGETHURT,
CRKAGLST,UDPRWDFLBLU,
CRKYLU,UDPRWDVOMIT,
CRKMLU,UDPRWDCRAMP,
HERAGLST,UDPRWDRUNNY,
HERYLU,UDPRWDSWEAT,
HERMLU,UDPRWDDIARR,
HALLAGLST,UDPRWDYAWNS,
HALLYRLST,UDPRWDFEVER,
HALLMOLST,UDPRWDSLEEP,
LSDAGLST,UDPRAVOIDWD,
LSDYLU,UDPRAVWHERN,
LSDMLU,UDPRAVWOTHR,
PCPAGLST,UDTRTIMEUSE,
PCPYLU,UDTRTIMEGET,
PCPMLU,UDTRLRGAMTS,
ECSTMOAGL,UDTRWANTBAD,
ECSTMOYLU,UDTRSTRURGE,
ECSTMOMLU,UDTRNEEDMOR,
INHLAGLST,UDTRLESSEFF,
INHLYRLST,UDTRTRYSTOP,
INHLMOLST,UDTRHLTHPRB,
METHAGLST,UDTRMNTLPRB,
METHYRLST,UDTRSTOPACT,
METHMOLST,UDTRWORKPRB,
CIGYRBFR,UDTRFMLYPRB,
SUTSUPPADB,UDTRGETHURT,
SUTOUTALC,UDTRWDSWEAT,
SUTOUTMRJ,UDTRWDTRMBL,
SUTOUTINHL,UDTRWDSLEEP,
SUTOUTHALL,UDTRWDVOMIT,
SUTOUTCOC,UDTRWDHALUC,
SUTOUTHER,UDTRWDSITST,
SUTOUTMETH,UDTRWDFLANX,
SUTOUTPNR,UDTRAVOIDWD,
SUTOUTSTM,UDTRAVWALCO,
SUTOUTTRQ,UDTRAVWOTHR,
SUTOUTSED,UDSTTIMEUSE,
SUTOUTODG,UDSTLRGAMTS,
SUTPHVIADB,UDSTWANTBAD,
SUTPEERADB,UDSTSTRURGE,
SUTUNCOST,UDSTNEEDMOR,
IISUTSUPPGRP,UDSTLESSEFF,
IRSUTERED,UDSTTRYSTOP,
IRSUTINHOSP,UDSTHLTHPRB,
IRSUTINRHAB,UDSTMNTLPRB,
IRSUTINRSMH,UDSTSTOPACT,
IRSUTINOPL,UDSTWORKPRB,
IRSUTOUTRHAB,UDSTFMLYPRB,
IRSUTOUTMHCR,UDSTGETHURT,
IRSUTOUTTHRP,UDSTWDFLBLU,
IRSUTOUTDOC,UDSTWDDREAM,
IRSUTOUTHOSP,UDSTWDSLEEP,
IRSUTOUTSCHL,UDSTWDHNGRY,
IRSUTOUTOPL,UDSTWDSITST,
IRSUTRXALC,UDSTAVOIDWD,
IRSUTRXDRG,UDSTAVWCOCN,
IRSUTPHVID,UDSTAVWMETH,
IRSUTDETOX,UDSTAVWOTHR,
IISUTDETOX,UDSVTIMEUSE,
IRSUTPEERSPC,UDSVTIMEGET,
SUTINPPY,UDSVLRGAMTS,
SUTOUTNDOC,UDSVWANTBAD,
SUTOUTALCPY,UDSVSTRURGE,
SUTOUTMRJPY,UDSVNEEDMOR,
SUTOUTCOCPY,UDSVLESSEFF,
SUTOUTHERPY,UDSVTRYSTOP,
SUTOUTHALPY,UDSVHLTHPRB,
SUTOUTINHPY,UDSVMNTLPRB,
SUTOUTMTHPY,UDSVSTOPACT,
SUTOUTPNRPY,UDSVWORKPRB,
SUTOUTSTMPY,UDSVFMLYPRB,
SUTOUTTRQPY,UDSVGETHURT,
SUTOUTSEDPY,UDSVWDSWEAT,
SUTOUTTQSDPY,UDSVWDTRMBL,
SUTOUTPSYPY,UDSVWDSLEEP,
SUTOUTOPIPY,UDSVWDVOMIT,
SUTOUTCNSPY,UDSVWDHALUC,
SUTOUTDRGPY,UDSVWDSITST,
SUTOUTDRALPY,UDSVWDFLANX,
SUTOUTUNSPPY,UDSVAVOIDWD,
SUTRTPY,UDSVAVWALCO,
SUTRTDRGPY,UDSVAVWOTHR,
SUTRTALCPY,IIPYUD5ALC,
SUTRTDRALPY,IIPYUD5MRJ,
SUTRTUNSPPY,IIPYUD5COC,
SUTRTOTHPY,IIPYUD5HER,
SUTNEEDPY,IIPYUD5HAL,
RSKCIGPKD,IIPYUD5INH,
RSKMRJMON,IIPYUD5MTH,
RSKMRJWK,IIUD5PNRMIS,
RSKLSDTRY,IIUD5TRQMIS,
RSKLSDWK,IIUD5STMMIS,
RSKHERTRY,IIUD5SEDMIS,
RSKHERWK,IIUD5SEDUNM,
RSKCOCMON,IRPYSEV5ALC,
RSKBNGDLY,IIPYSEV5ALC,
RSKBNGWK,IRPYSEV5MRJ,
DIFGETMRJ,IIPYSEV5MRJ,
DIFGETLSD,IRPYSEV5COC,
DIFGETCOC,IIPYSEV5COC,
DIFGETCRK,IRPYSEV5HER,
APPDRGMON,IIPYSEV5HER,
RSKYFQDGR,IRPYSEV5HAL,
RSKYFQTES,IRPYSEV5INH,
RKFQPBLT,IRPYSEV5MTH,
RKFQDBLT,IIPYSEV5MTH,
YEHMSLYR,IRSEVPNRMIS,
YECIGFRNDOF2,IISEVPNRMIS,
YUCOSUITHK,IRSEVPNRUNM,
YUCOSUIPLN,IRSEVTRQMIS,
DSTNRV12,IISEVTRQMIS,
IMPREMEM,IRSEVTRQUNM,
IMPGOUTM,IRSEVSTMMIS,
IMPPEOPM,IISEVSTMMIS,
IMPSOCM,IRSEVSTMUNM,
IMPHHLDM,IRSEVSEDMIS,
IMPRESPM,IISEVSEDMIS,
IMPWORK,IRSEVSEDUNM,
IMPWEEKS,UD5HRPNRANY,
COSUITHNK,UDYR5PNRANY,
COSUIPLNYR,SEVYRPNRANY,
IICOSUITHNK,SEVYRTRQANY,
IICOSUIPLNYR,SEVYRSTMANY,
IICOSUITRYYR,SEVYRSEDANY,
ADDSCEV,SVYRPSYANY,
ADLOSEV,SVYROPIANY,
ADDPDISC,MRJYRBFR,
ADDSLSIN,MRJMLU,
ADLSI2WK,ALCMLU,
ADDPR2WK,ALCYRBFR,
ADWRHRS,COCYRBFR,
ADWRPROB,SUTUNINSCV,
ADWREMOR,SUTUNENFCV,
ADWRGROW,SUTUNWHER,
ADWRPREG,SUTUNNOFND,
ADWRGNL2,SUTUNNOOPN,
ADWRLOSE,SUTUNPROBS,
ADWRDIET,SUTUNTIME,
ADWRLSL2,SUTUNPRIV,
ADWRSMOR,SUTUNPTHNK,
ADWRSLNO,SUTUNCONSQ,
ADWRJITT,SUTUNSTART,
ADWRJINO,SUTUNQUIT,
ADWRWRTH,SUTUNHNDL,
ADPSHMGT,SUTUNFFLKE,
ADFAMDOC,SUTUNFORCE,
ADRXNOW,SUTUNNOHLP,
YODSCEV,SUTUNCARE,
YOLOSEV,IRSUTSUPPGRP,
YODPDISC,IISUTERED,
YODSLSIN,IISUTINHOSP,
YOLSI2WK,IISUTINRHAB,
YOWRHRS,IISUTINRSMH,
YOWRDST,IISUTINOPL,
YOWRPROB,IISUTOUTRHAB,
YOWREMOR,IISUTOUTMHCR,
YOWRGROW,IISUTOUTTHRP,
YOWRPREG,IISUTOUTDOC,
YOWRGNL2,IISUTOUTHOSP,
YOWRLOSE,IISUTOUTSCHL,
YOWRDIET,IISUTOUTOPL,
YOWRLSL2,IISUTRXALC,
YOWRSMOR,IISUTRXDRG,
YOWRSLNO,IISUTPHVID,
YOWRJITT,IISUTPEERSPC,
YOWRJINO,SUTOUTPPY,
YOWRWRTH,RSKCOCWK,
YOPBNUM,DIFGETHER,
YOPSHMGT,SNYSELL,
YOFAMDOC,SNYSTOLE,
YORXNOW,SNYATTAK,
MHTSEEKTX,SNFAMJEV,
MHTUNCOST,SNRLGSVC,
IRMHTSUPPGRP,SNRLGIMP,
IIMHTSUPPGRP,SNRLDCSN,
IRMHTERED,SNRLFRND,
IIMHTERED,YEATNDYR,
IRMHTINHOSP,YESCHFLT,
IIMHTINHOSP,YESCHWRK,
IRMHTINRSMH,YESCHIMP,
IRMHTINRHAB,YESCHINT,
IRMHTINOPL,YETCGJOB,
IRMHTOUTMHCR,YELSTGRD,
IIMHTOUTMHCR,YECIGNEXTYR2,
IRMHTOUTRHAB,YESTSCIG,
IRMHTOUTTHRP,YESTSMJ,
IRMHTOUTDOC,YESTSALC,
IRMHTOUTHOSP,YESTSDNK,
IRMHTOUTSCHL,YEPCHKHW,
IRMHTOUTOPL,YEPHLPHW,
IRMHTRXMED,YEPCHORE,
IIMHTRXMED,YEPLMTTV,
IRMHTPHVID,YEPLMTSN,
IIMHTPHVID,YEPGDJOB,
IRMHTPEERSPC,YEPPROUD,
IIMHTPEERSPC,YEYARGUP,
MHTINOTHPY,YEYFGTSW,
MHTINPPY,YEYFGTGP,
MHTOUTOTPY,YEYHGUN,
MHTOUTPPY,YEYSELL,
MHTOUTNDOC,YEYSTOLE,
MHTRTPY,YEYATTAK,
RCVMHTNSUT,YEPPKCIG,
RCVSUTNMHT,YEPMJEVR,
RCVSUTAMHT,YEPMJMO,
PREGNANT,YEPALDLY,
HTANSWER,YEGPKCIG,
HTINCHE2,YEGMJEVR,
WTANSWER,YEGMJMO,
WTPOUND2,YEGALDLY,
NMERTMT2,YEFPKCIG,
INHOSPYR,YEFMJEVR,
NMNGTHS2,YEFMJMO,
NMVSOPT2,YEFALDLY,
NMVSOEST,YETLKNON,
TELEAPTYR,YETLKPAR,
HPUSETOB,YETLKBGF,
HPQTTOB,YETLKOTA,
HPALCAMT,YETLKSOP,
HPALCNOT,YEPRTDNG,
HPDRGTALK,YEPRBSLV,
STDANYYR,YEVIOPRV,
HRTCONDEV,YEDGPRGP,
CABLADDER,YESLFHLP,
CACERVIX,YEPRGSTD,
CAPROSTEST,YESCHACT,
HRTCONDAG,YECOMACT,
DIABETEAG,YEFAIACT,
COPDAGE,YEOTHACT,
CIRROSAGE,YEDECLAS,
HEPBCAGE,YEDERGLR,
KIDNYDSAG,YEDESPCL,
ASTHMAAGE,YEPVNTYR,
HIVAIDSAG,YERLGSVC,
HIGHBPMED,YERLGIMP,
HIGHBPAGE,YERLDCSN,
PREG,YERLFRND,
CASURCVR,YUSUITHK,
CAMHRCVR,YUSUIPLN,
KRATEVER,DSTNRV30,
KRATREC,DSTHOP30,
FLVVAPEVR,DSTRST30,
FLVVAPREC,DSTCHR30,
SYNMRJEVR,DSTEFF30,
SYNMRJREC,DSTNGD30,
SYNSTMREC,DSTWORST,
IMFNDLEVER,DSTHOP12,
IRSYNSTMREC,DSTRST12,
KRATOMYR,DSTCHR12,
KRATOMMON,DSTEFF12,
FLVVAPYR,DSTNGD12,
FLVVAPMON,IMPCONCN,
SYNMRJYR,IMPGOUT,
SYNMRJMON,IMPPEOP,
SYNSTMYR,IMPSOC,
SYNSTMMON,IMPHHLD,
IMFYR,IMPRESP,
IMFMON,IMPDYFRQ,
FPIMFANYYR,IMPYDAYS,
FPIMFNMYR,SUICTHNK,
ILIMFOTHFG,SUIPLANYR,
ILIMFOTHYR,IRDSTNRV30,
ILIMFOTHMN,IIDSTNRV30,
CONEGMH,IRDSTHOP30,
COALCUSE,IIDSTHOP30,
CODRGUSE,IRDSTRST30,
COFINANC,IIDSTRST30,
COMHTELE,IRDSTCHR30,
COSUTELE,IIDSTCHR30,
COHCTELE,IRDSTEFF30,
LANGVER,IIDSTEFF30,
,IRDSTNGD30,
,IIDSTNGD30,
,IRDSTWORST,
,IIDSTWORST,
,IRDSTNRV12,
,IIDSTNRV12,
,IRDSTHOP12,
,IIDSTHOP12,
,IRDSTRST12,
,IIDSTRST12,
,IRDSTCHR12,
,IIDSTCHR12,
,IRDSTEFF12,
,IIDSTEFF12,
,IRDSTNGD12,
,IIDSTNGD12,
,IRIMPREMEM,
,IIIMPREMEM,
,IRIMPCONCN,
,IIIMPCONCN,
,IRIMPGOUT,
,IIIMPGOUT,
,IRIMPGOUTM,
,IIIMPGOUTM,
,IRIMPPEOP,
,IIIMPPEOP,
,IRIMPPEOPM,
,IIIMPPEOPM,
,IRIMPSOC,
,IIIMPSOC,
,IRIMPSOCM,
,IIIMPSOCM,
,IRIMPHHLD,
,IIIMPHHLD,
,IRIMPHHLDM,
,IIIMPHHLDM,
,IRIMPRESP,
,IIIMPRESP,
,IRIMPRESPM,
,IIIMPRESPM,
,IRIMPWORK,
,IIIMPWORK,
,IISUICTHNK,
,IISUIPLANYR,
,IISUITRYYR,
,ADDPREV,
,ADDPLSIN,
,ADWRDST,
,ADWRCHR,
,ADWRIMP,
,ADDPPROB,
,ADWRAGE,
,ADWRDEPR,
,ADWRDISC,
,ADWRLSIN,
,ADWRPLSR,
,ADWRELES,
,ADWRGAIN,
,ADWRSLEP,
,ADWRENRG,
,ADWRSLOW,
,ADWRTHOT,
,ADWRCONC,
,ADWRDCSN,
,ADWRNOGD,
,AD_MDEA1,
,AD_MDEA2,
,AD_MDEA3,
,AD_MDEA4,
,AD_MDEA5,
,AD_MDEA6,
,AD_MDEA7,
,AD_MDEA8,
,ADSMMDEA,
,ADPBINTF,
,ADPBDLYA,
,ADPBRMBR,
,ADPBAGE,
,ADPBNUM,
,ADPB2WK,
,ADPSWORK,
,ADPSRELS,
,ADPSSOC,
,ADPSDAYS,
,ADSEEDOC,
,ADOTHDOC,
,ADPSYCH,
,ADPSYMD,
,ADSOCWRK,
,ADCOUNS,
,ADOTHMHP,
,ADNURSE,
,ADRELIG,
,ADHERBAL,
,ADOTHHLP,
,ADTMTNOW,
,ADRX12MO,
,ADRXHLP,
,ADTMTHLP,
,IIAMDELT,
,IIAMDEYR,
,IIAMDEIMP,
,YODPREV,
,YODPLSIN,
,YODPR2WK,
,YOWRCHR,
,YOWRIMP,
,YODPPROB,
,YOWRAGE,
,YOWRDEPR,
,YOWRDISC,
,YOWRLSIN,
,YOWRPLSR,
,YOWRELES,
,YOWRGAIN,
,YOWRSLEP,
,YOWRENRG,
,YOWRSLOW,
,YOWRTHOT,
,YOWRCONC,
,YOWRDCSN,
,YOWRNOGD,
,YO_MDEA1,
,YO_MDEA2,
,YO_MDEA3,
,YO_MDEA4,
,YO_MDEA5,
,YO_MDEA6,
,YO_MDEA7,
,YO_MDEA8,
,YODSMMDE,
,YOPBINTF,
,YOPBDLYA,
,YOPBRMBR,
,YOPBAGE,
,YOPB2WK,
,YOPSWORK,
,YOPSRELS,
,YOPSSOC,
,YOPSDAYS,
,YOSEEDOC,
,YOOTHDOC,
,YOPSYCH,
,YOPSYMD,
,YOSOCWRK,
,YOCOUNS,
,YOOTHMHP,
,YONURSE,
,YORELIG,
,YOHERBAL,
,YOOTHHLP,
,YOTMTNOW,
,YORX12MO,
,YORXHLP,
,YOTMTHLP,
,MHTSHLDTX,
,MHTUNINSCV,
,MHTUNENFCV,
,MHTUNWHER,
,MHTUNNOFND,
,MHTUNNOOPN,
,MHTUNPROBS,
,MHTUNTIME,
,MHTUNPRIV,
,MHTUNPTHNK,
,MHTUNCONSQ,
,MHTUNSTART,
,MHTUNHNDL,
,MHTUNFFLKE,
,MHTUNFORCE,
,MHTUNMED,
,MHTUNNOHLP,
,MHTUNCARE,
,IIMHTINRSMH,
,IIMHTINRHAB,
,IIMHTINOPL,
,IIMHTOUTRHAB,
,IIMHTOUTTHRP,
,IIMHTOUTDOC,
,IIMHTOUTHOSP,
,IIMHTOUTSCHL,
,IIMHTOUTOPL,
,MHTRTOTHPY,
,RCVSUTOMHT,
,HPUSEALC,
,HPUSEDRG,
,HPALCFRQ,
,HPALCPRB,
,HPALCCUT,
,HPALCTX,
,DIABETEVR,
,COPDEVER,
,CIRROSEVR,
,HEPBCEVER,
,KIDNYDSEV,
,ASTHMAEVR,
,HIVAIDSEV,
,CANCEREVR,
,HIGHBPEVR,
,NONABOVEV,
,CABLOLEULYM,
,CAOTHER2,
,CABREAST,
,CACOLNRECT,
,CAESOPSTOM,
,CAGALLIVPAN,
,CAKIDNEY,
,CALARYLUNG,
,CAMELANOM,
,CAMOUTTHRO,
,CAOVARY,
,CASKINOTH,
,CASKINDK,
,CATHYROID,
,CAUTERUS,
,CANCERYR,
,HRTCONDYR,
,ASTHMANOW,
,CASUPROB,
,CAMHPROB,
,SYNSTMEVR,
,IMFEVER,
,IRKRATREC,
,IIKRATREC,
,IRFLVVAPREC,
,IIFLVVAPREC,
,IRSYNMRJREC,
,IISYNMRJREC,
,IISYNSTMREC,
,IRIMFREC,
,IIIMFREC,
,KRATOMFLAG,
,FLVVAPFLAG,
,SYNMRJFLAG,
,SYNSTMFLAG,
,IMFFLAG,
,OPIIMFNMYR,
,OPIIMFNMMN,
,COMHAPTDL,
,COMHRXDL,
,COMHSVHLT,
,COSUAPTDL,
,COSURXDL,
,COSUSVHLT,
,COHCAPTDL,
,COHCRXDL,
,COHCSVHLT,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
