NON_CORRELATED,CORRELATED95,COLUMNS_WITH_NAN
AMYLNIT,SEDWYNORX,
INHALOT1,SEDWYGAMT,
INHALOT2,SEDWYOFTN,
INHALOT3,SEDWYLNGR,
INHALOT4,SEDWYOTWY,
INHALOT5,SEDNMLAST,
INHALYFU,SEDRSRELX,
INHALMFU,SEDRSEXPT,
INHTOTFG,SEDRSHIGH,
INHFQFLG,SEDRSSLEP,
INHDYSYR,SEDRSEMOT,
INHDYPMO,SEDRSDGFX,
INHDYPWK,SEDRSHOOK,
INHAL30N,SEDRSSOR,
INHAL30ES,IRCIGRC,
METHAMEVR,II2CIGRC,
METHAMAGE,IRCGRRC,
METHAMYFU,II2CGRRC,
METHAMMFU,IRPIPLF,
METOTFG,IIPIPLF,
MEFQFLG,IRPIPMN,
METHDYSYR,IIPIPMN,
METHDYPMO,IRNICVAPREC,
METHDYPWK,IRSMKLSSREC,
METHAM30N,IRALCRC,
METHAM30E,II2ALCRC,
OXCNANYYR,IRCBDHMPREC,
PNRANYLIF,IRMJRC,
PNRANYREC,II2MJRC,
OXCNNMYR,IRMJYRSMOKE,
OXCNNMAGE,IIMJYRSMOKE,
OXCNNMYFU,IRMJYRVAPE,
OXCNNMMFU,IIMJYRVAPE,
PNRNMREC,IRMJYRDAB,
PNRNMINIT,IIMJYRDAB,
PNRNMAGE,IRMJYREAT,
PNRNM30FQ,IIMJYREAT,
PNRNM30ES,IRMJYRMOUTH,
PNRNM30AL,IIMJYRMOUTH,
PNRRSOTRS2,IRMJYRSKIN,
PNRRSMAIN,IIMJYRSKIN,
PNRNORXFG,IRMJYRPILL,
TRQANYLIF,IIMJYRPILL,
TRQANYREC,IRMJYROTHER,
TRQNMREC,IIMJYROTHER,
TRQNMINIT,IRMJMONSMOKE,
TRQNMAGE,IIMJMONSMOKE,
TRQNMMFU,IRMJMONVAPE,
TRQNM30FQ,IIMJMONVAPE,
TRQNM30ES,IRMJMONDAB,
TRQNM30AL,IIMJMONDAB,
TRQRSOTRS2,IRMJMONEAT,
TRQRSMAIN,IIMJMONEAT,
TRQNORXFG,IRMJMONMOUTH,
STMANYLIF,IIMJMONMOUTH,
STMANYREC,IRMJMONSKIN,
STMNMREC,IIMJMONSKIN,
STMNMINIT,IRMJMONPILL,
STMNMAGE,IIMJMONPILL,
STMNM30FQ,IRCOCRC,
STMNM30ES,II2COCRC,
STMNM30AL,IRCRKRC,
STMNDLREC,II2CRKRC,
STMRSOTRS2,IRHERRC,
STMRSMAIN,II2HERRC,
STMNORXFG,IRHALLUCREC,
SEDANYLIF,IRLSDRC,
SEDANYREC,II2LSDRC,
SEDNMREC,IRPCPRC,
SEDNMINIT,II2PCPRC,
SEDNMAGE,IRECSTMOREC,
SEDNMMFU,IRKETMINREC,
SEDNM30FQ,IRDAMTFXREC,
SEDNM30ES,IRSALVIAREC,
SEDNM30AL,IRINHALREC,
SEDRSOTRS2,IRMETHAMREC,
SEDRSMAIN,IRPNRANYREC,
SEDNORXFG,IRTRQANYREC,
IICIGRC,IITRQANYREC,
IICGRRC,IRSTMANYREC,
IINICVAPREC,IISTMANYREC,
IISMKLSSREC,IRSEDANYREC,
IIALCRC,IRPNRNMREC,
IICBDHMPREC,IROXCNNMYR,
IIMJRC,IRTRQNMREC,
IICOCRC,IRSTMNMREC,
IICRKRC,IRSEDNMREC,
IIHERRC,IRALCFY,
IIHALLUCREC,IIALCFY,
IILSDRC,II2ALCFY,
IIPCPRC,IRMJFY,
IIECSTMOREC,IIMJFY,
IIKETMINREC,II2MJFY,
IIDAMTFXREC,IRCOCFY,
IISALVIAREC,IICOCFY,
IIINHALREC,II2COCFY,
IIMETHAMREC,IRCRKFY,
IIPNRANYREC,II2CRKFY,
IROXCNANYYR,IRHERFY,
IIOXCNANYYR,II2HERFY,
IRFENTANYYR,IRHALLUCYFQ,
IIFENTANYYR,IIHALLUCYFQ,
IISEDANYREC,IRINHALYFQ,
IRBZOANYYR,IRMETHAMYFQ,
IIBZOANYYR,IRCIGFM,
IIPNRNMREC,IICIGFM,
IIOXCNNMYR,II2CIGFM,
IRFENTNMYR,IRCGRFM,
IIFENTNMYR,IICGRFM,
IITRQNMREC,II2CGRFM,
IISTMNMREC,IRSMKLSS30N,
IISEDNMREC,IISMKLSS30N,
